Symbol;Position;Type;Lots;Open time;Open price;Close time;Close price;Profit;Net profit;Rollover;Comment
GBPUSD;757855271;Sell Limit;0.03;12.10.2022 20:11:09;1.11087;03.11.2022 11:26:53;1.12371;-186.34;-182.38;0;[T/P]
GBPUSD;761426862;Sell;0.01;17.10.2022 07:43:28;1.12675;21.10.2022 10:49:31;1.1138;63.41;63.61;0;
USDPLN;757552759;Sell Limit;0.02;12.10.2022 16:22:13;5.0068;13.10.2022 11:00:56;4.9901;33.4;34.22;0;[T/P]
GOLD;756781400;Buy Limit;0.01;12.10.2022 02:02:28;1662.97;12.10.2022 08:27:00;1672.42;47.06;47.06;0;[T/P]
GOLD;755800546;Buy Limit;0.01;11.10.2022 12:04:44;1662.1;11.10.2022 13:00:28;1667.41;26.56;26.56;0;[T/P]
TEZOS;754055278;Sell Limit;100;09.10.2022 14:20:03;1.4055;11.10.2022 00:55:55;1.3975;4.01;3.62;0;[T/P]
LITECOIN;608121224;Sell Limit;0.5;25.04.2022 20:46:33;103.1;26.04.2022 21:17:55;99.939;7.01;6.95;0;[T/P]
LITECOIN;597659947;Sell Limit;0.5;12.04.2022 09:21:11;104.425;25.04.2022 02:23:18;102.855;3.38;2.53;0;[T/P]
LITECOIN;592711484;Buy Limit;0.5;06.04.2022 02:07:36;122.265;06.04.2022 22:04:09;114.25;-17.13;-17.13;0;[T/P]
LITECOIN;592512152;Sell Limit;0.5;05.04.2022 19:18:23;125.1;06.04.2022 02:07:30;122.615;5.3;5.23;0;[T/P]
DOGECOIN;480708339;Buy;500;12.11.2021 10:30:49;0.2586;24.02.2022 15:36:39;0.11146;-309.32;-345.36;0;
USDPLN;479698128;Sell;0.01;10.11.2021 20:47:12;4.0144;07.12.2021 21:17:36;4.0706;-56.2;-56.25;0;
DOGECOIN;477203489;Sell Limit;600;06.11.2021 21:26:00;0.26101;10.11.2021 22:20:52;0.2539;17.16;16.46;0;[T/P]
NATGAS;472186221;Buy;0.01;28.10.2021 21:14:45;5.721;09.11.2021 14:54:46;5.183;-639.1;-645.96;0;[S/O 49.96% 496.40 / 993.64 (PLN)]
GBPUSD;476506072;Buy;0.01;05.11.2021 09:28:58;1.34629;05.11.2021 16:54:28;1.34956;13.01;13.01;0;
ETHEREUM;475539127;Sell Limit;0.05;04.11.2021 00:49:26;4598.999;04.11.2021 16:07:49;4523.935;14.98;14.98;0;[T/P]
GBPUSD;475371140;Buy Limit;0.02;03.11.2021 19:32:50;1.36499;03.11.2021 19:51:20;1.36846;27.39;27.39;0;[T/P]
ETHEREUM;472202335;Sell Limit;0.05;28.10.2021 21:50:10;4254.205;31.10.2021 12:46:12;4198.381;11.15;10.44;0;[T/P]
DOGECOIN;472075726;Sell Limit;500;28.10.2021 17:50:35;0.31771;28.10.2021 20:39:22;0.30724;20.75;20.75;0;[T/P]
GOLD;472064834;Sell Limit;0.02;28.10.2021 17:38:00;1804.02;28.10.2021 19:01:47;1800.14;30.71;30.71;0;[T/P]
GOLD;471211456;Sell;0.01;27.10.2021 18:04:32;1796.01;28.10.2021 16:35:55;1794.1;7.55;6.57;0;
ETHEREUM;470758697;Buy Limit;0.06;27.10.2021 10:04:59;4043.881;28.10.2021 11:58:56;4147.877;24.9;23.97;0;[T/P]
GOLD;470623716;Buy;0.01;27.10.2021 03:40:29;1790.49;27.10.2021 17:59:18;1794.68;16.68;16.68;0;
ETHEREUM;470644419;Sell Limit;0.06;27.10.2021 05:18:43;4202.553;27.10.2021 09:48:43;4159.43;10.28;10.28;0;[T/P]
BITCOINCASH;470600864;Sell Limit;0.1;27.10.2021 01:52:26;610.03;27.10.2021 09:25:36;606.89;1.25;1.25;0;[T/P]
ETHEREUM;470594657;Buy Limit;0.05;27.10.2021 01:09:20;4129.935;27.10.2021 04:26:55;4164.295;6.82;6.82;0;[T/P]
TEZOS;470552733;Sell Limit;25;26.10.2021 21:44:45;6.926;27.10.2021 00:38:25;6.8453;8.03;7.84;0;[T/P]
ETHEREUM;470570502;Buy Limit;0.05;26.10.2021 22:29:39;4293.549;26.10.2021 22:30:28;4287.324;-1.24;-1.24;0;[T/P]
ETHEREUM;470549332;Sell Stop;0.06;26.10.2021 21:35:22;4212.442;26.10.2021 21:43:39;4227.785;-3.66;-3.66;0;[S/L]
ETHEREUM;470488654;Buy Limit;0.05;26.10.2021 19:33:13;4191.536;26.10.2021 21:19:26;4216.789;5.01;5.01;0;[T/P]

